taba.LatD,taba.LatM,taba.LatS,taba.NS,taba.LonD,taba.LonM,taba.LonS,taba.EW,taba.City,taba.State,taba_sel.City,taba_sel.State
41,5,59,N,80,39,0,W,Youngstown,OH,Youngstown,OH
42,52,48,N,97,23,23,W,Yankton,SD,Yankton,SD
46,35,59,N,120,30,36,W,Yakima,WA,Yakima,WA
42,16,12,N,71,48,0,W,Worcester,MA,Worcester,MA
43,37,48,N,89,46,11,W,Wisconsin Dells,WI,Wisconsin Dells,WI
36,5,59,N,80,15,0,W,Winston-Salem,NC,Winston-Salem,NC
49,52,48,N,97,9,0,W,Winnipeg,MB,Winnipeg,MB
39,11,23,N,78,9,36,W,Winchester,VA,Winchester,VA
34,14,24,N,77,55,11,W,Wilmington,NC,Wilmington,NC
34,14,24,N,77,55,11,W,Wilmington,NC,Wilmington,DE
39,45,0,N,75,33,0,W,Wilmington,DE,Wilmington,NC
39,45,0,N,75,33,0,W,Wilmington,DE,Wilmington,DE
48,9,0,N,103,37,12,W,Williston,ND,Williston,ND
41,15,0,N,77,0,0,W,Williamsport,PA,Williamsport,PA
37,40,48,N,82,16,47,W,Williamson,WV,Williamson,WV
33,54,0,N,98,29,23,W,Wichita Falls,TX,Wichita Falls,TX
37,41,23,N,97,20,23,W,Wichita,KS,Wichita,KS
40,4,11,N,80,43,12,W,Wheeling,WV,Wheeling,WV
26,43,11,N,80,3,0,W,West Palm Beach,FL,West Palm Beach,FL
47,25,11,N,120,19,11,W,Wenatchee,WA,Wenatchee,WA
41,25,11,N,122,23,23,W,Weed,CA,Weed,CA
31,13,11,N,82,20,59,W,Waycross,GA,Waycross,GA
44,57,35,N,89,38,23,W,Wausau,WI,Wausau,WI
42,21,36,N,87,49,48,W,Waukegan,IL,Waukegan,IL
44,54,0,N,97,6,36,W,Watertown,SD,Watertown,SD
44,54,0,N,97,6,36,W,Watertown,SD,Watertown,NY
43,58,47,N,75,55,11,W,Watertown,NY,Watertown,SD
43,58,47,N,75,55,11,W,Watertown,NY,Watertown,NY
42,30,0,N,92,20,23,W,Waterloo,IA,Waterloo,IA
41,32,59,N,73,3,0,W,Waterbury,CT,Waterbury,CT
38,53,23,N,77,1,47,W,Washington,DC,Washington,DC
41,50,59,N,79,8,23,W,Warren,PA,Warren,PA
46,4,11,N,118,19,48,W,Walla Walla,WA,Walla Walla,WA
31,32,59,N,97,8,23,W,Waco,TX,Waco,TX
